,inner_loss,inner_loss_b,inner_loss_f
85,[6.71412454 3.4376688  2.43170485 1.99704875 1.59891553 1.19581435],[0.65124144 0.32442975 0.22444308 0.18149756 0.14222134 0.10244231],[0.20171013 0.1933713  0.18727402 0.18207314 0.17670218 0.17139127]
86,[6.51776788 3.03745899 2.01193495 1.62257176 1.2872265  0.95746288],[0.63814391 0.29068805 0.18856639 0.15002777 0.11693164 0.08438744],[0.13632878 0.13057851 0.12627107 0.12229403 0.11791012 0.11358851]
87,[6.62805902 3.24726547 2.22574533 1.79913432 1.41089724 1.02365706],[0.64419278 0.30701349 0.20567042 0.16394615 0.12635524 0.08909698],[0.18613125 0.17713061 0.16904116 0.15967281 0.14734481 0.13268724]
88,[6.62976543 3.31385301 2.31257695 1.89614904 1.52061486 1.14222544],[0.64162766 0.31086818 0.21136728 0.1703087  0.13342575 0.09637702],[0.21348879 0.20517125 0.19890419 0.19306201 0.18635735 0.17845527]
89,[6.79209061 3.33467476 2.28796893 1.85494038 1.46433248 1.07293312],[0.66206931 0.31704378 0.21295086 0.17023458 0.13187242 0.09350154],[0.17139753 0.16423696 0.15846036 0.15259457 0.14560829 0.13791771]
90,[6.29472582 3.12915417 2.1747943  1.77393209 1.40831183 1.04103226],[0.60807888 0.29242511 0.19770719 0.1583493  0.12269467 0.08702793],[0.21393701 0.20490304 0.19772235 0.19043905 0.18136509 0.17075291]
91,[6.43821559 3.25274533 2.28237921 1.85997733 1.46990629 1.07917087],[0.62353444 0.30585759 0.20951913 0.16799215 0.12987339 0.09183457],[0.20287114 0.19416941 0.18718786 0.18005585 0.17117242 0.16082516]
92,[6.56892262 3.10891052 2.07747516 1.67195444 1.31802213 0.9706457 ],[0.63857155 0.29342325 0.19097289 0.15113305 0.11660322 0.08285928],[0.18320714 0.17467804 0.16774624 0.16062394 0.15198996 0.14205287]
93,[6.97281949 3.5249925  2.46561912 1.99171699 1.54716581 1.10060117],[0.68077578 0.33683771 0.2316021  0.18494562 0.14140262 0.09781485],[0.16506168 0.15661537 0.14959813 0.14226081 0.13313965 0.12245269]
94,[6.65511147 3.3722517  2.35632745 1.89625958 1.46995094 1.05458545],[0.64822093 0.32080718 0.21989973 0.17453672 0.13260495 0.09170224],[0.1729022  0.16417988 0.15733019 0.15089241 0.14390148 0.13756304]
95,[6.41450081 3.00363463 2.00616799 1.61692336 1.27719762 0.94318885],[0.62241486 0.28221952 0.18315787 0.14492261 0.11179449 0.07938066],[0.19035219 0.18143943 0.1745893  0.16769726 0.1592527  0.14938223]
96,[6.63997687 3.2986437  2.28720829 1.85243374 1.45655645 1.06728348],[0.64227006 0.30902503 0.2085908  0.16583233 0.12710215 0.08911352],[0.21727622 0.20839336 0.20130025 0.19411048 0.18553497 0.17614827]
97,[6.35599501 3.03459184 2.04664383 1.63660282 1.26931369 0.91309397],[0.62107303 0.28963134 0.19131302 0.15069154 0.11431168 0.07889216],[0.14526476 0.13827847 0.13351364 0.12968747 0.12619691 0.1241724 ]
98,[6.96177931 3.38619379 2.29825396 1.8224501  1.38692979 0.97130904],[0.68101562 0.32425016 0.21609726 0.16917484 0.12635951 0.08540861],[0.15162314 0.14369218 0.13728136 0.13070166 0.1233347  0.11722292]
99,[6.305978   3.1302265  2.16124279 1.74246053 1.36744291 1.00418479],[0.60876783 0.29221361 0.19611653 0.15502136 0.11842476 0.08307364],[0.2182997  0.20809043 0.2000775  0.19224696 0.18319529 0.17344844]
100,[6.5852033  3.26326721 2.24601255 1.79158887 1.37483403 0.97900832],[0.63711852 0.30578905 0.20468804 0.15977631 0.1186071  0.07945472],[0.21401814 0.20537677 0.19913209 0.19382578 0.18876306 0.18446116]
101,[6.47565513 3.0469462  2.02552887 1.59974745 1.22429847 0.87445225],[0.63015282 0.28815096 0.1866967  0.14478467 0.10794875 0.07355687],[0.17412696 0.16543662 0.15856187 0.15190074 0.14481102 0.13888359]
102,[6.76983348 3.25946776 2.18723916 1.71824168 1.29590464 0.90047899],[0.6583764  0.30835496 0.20202937 0.15614377 0.11516104 0.07690841],[0.1860694  0.17591817 0.16694548 0.15680396 0.14429424 0.13139489]
103,[7.2559424  3.71169637 2.601101   2.04037969 1.50395849 1.00661543],[0.70625164 0.35267801 0.24239534 0.18720041 0.13454975 0.08570558],[0.19342606 0.18491632 0.17714761 0.16837556 0.15846097 0.14955965]
104,[6.65545592 3.10090593 2.03809876 1.59063907 1.19731373 0.83492574],[0.65110114 0.29642283 0.19076025 0.14660774 0.10787656 0.07213457],[0.14444454 0.13667764 0.1304962  0.1245617  0.11854812 0.11358006]
105,[6.74311575 3.26328841 2.211209   1.74174314 1.31517645 0.91861464],[0.65305004 0.30613666 0.20178649 0.15573225 0.11414316 0.07567402],[0.21261539 0.20192177 0.19334408 0.18442068 0.17374484 0.16187444]
106,[5.89655788 2.7030794  1.77589692 1.41109266 1.10128446 0.81170673],[0.56910222 0.25077365 0.15877682 0.12291861 0.09260538 0.06436311],[0.20553567 0.19534287 0.18812868 0.18190653 0.1752307  0.16807564]
107,[6.62156055 3.23043912 2.19200635 1.71054651 1.27233104 0.87613535],[0.64123561 0.30329079 0.20035227 0.15305977 0.11012918 0.07128257],[0.20920443 0.19753121 0.18848367 0.17994883 0.17103925 0.16330959]
108,[6.5131491  3.01159494 1.97119455 1.53833036 1.16351467 0.82353605],[0.63455283 0.28539466 0.18210338 0.13949642 0.10269225 0.06925341],[0.16762073 0.15764828 0.15016072 0.14336611 0.1365922  0.13100196]
109,[6.70432807 3.12289279 2.04611641 1.56337053 1.12532223 0.73609442],[0.65527901 0.2980249  0.19107304 0.14355071 0.10056336 0.06224483],[0.15153798 0.14264379 0.13538605 0.12786339 0.1196886  0.11364616]
110,[6.6175848  3.10895196 2.05829537 1.60376326 1.20311834 0.83906796],[0.64300594 0.29316617 0.18887352 0.14415542 0.10487085 0.06915549],[0.18752537 0.17729031 0.16956017 0.16220909 0.1544098  0.14751301]
111,[6.78274901 3.18059113 2.08518317 1.59902453 1.17183618 0.795566  ],[0.6623889  0.3031447  0.19442994 0.14666593 0.10482551 0.06788552],[0.15886002 0.14914416 0.14088375 0.13236524 0.12358104 0.1167108 ]
112,[6.63798664 3.20001736 2.15531004 1.68193653 1.26156443 0.88042098],[0.6434276  0.30080906 0.19724926 0.15078937 0.10970606 0.07252938],[0.20371066 0.1919268  0.1828174  0.17404284 0.1645038  0.1551272 ]
113,[7.02309464 3.33521065 2.22054445 1.71040398 1.25082206 0.84048035],[0.68447795 0.31672074 0.20612854 0.15606167 0.11115802 0.07106598],[0.17831518 0.16800321 0.15925909 0.1497873  0.13924189 0.12982053]
114,[7.03668873 3.37366031 2.2511394  1.70785453 1.21187489 0.78495525],[0.68436341 0.31910469 0.20773274 0.154312   0.10565235 0.063676  ],[0.19305464 0.18261336 0.17381201 0.16473458 0.15535139 0.14819521]
115,[6.53244699 2.96468916 1.90503531 1.44854287 1.04816598 0.69566327],[0.63476032 0.27919093 0.17422586 0.12964929 0.09089847 0.05698398],[0.18484382 0.17277983 0.16277669 0.15205002 0.13918133 0.12582346]
116,[6.59224462 2.81879271 1.73406391 1.30819737 0.94941755 0.63948639],[0.64337056 0.26706995 0.15936984 0.11751849 0.08244513 0.05221424],[0.15853899 0.14809319 0.14036547 0.13301247 0.12496626 0.11734402]
117,[6.98238569 3.16923612 2.03694437 1.54440725 1.11437606 0.73762954],[0.68371536 0.30337338 0.19092802 0.14249588 0.10042347 0.06361124],[0.14523208 0.13550228 0.12766418 0.11944847 0.11014132 0.1015171 ]
118,[6.81687617 3.17690469 2.07581646 1.57908479 1.14390403 0.76552144],[0.66449659 0.30168767 0.19246596 0.14359503 0.10088391 0.06371047],[0.17191025 0.16002797 0.1511569  0.14313452 0.13506498 0.12841679]
119,[6.65984204 3.0120019  1.92206982 1.43524972 1.00878026 0.64808058],[0.64702597 0.28352246 0.17565217 0.12820082 0.08700503 0.05237639],[0.18958231 0.17677732 0.16554813 0.15324153 0.13872996 0.1243167 ]
120,[6.58309079 2.90702164 1.82416512 1.37315812 0.99304796 0.67439756],[0.6403448  0.27384398 0.16641101 0.12212657 0.08494043 0.05362636],[0.17964275 0.16858189 0.16005496 0.15189242 0.14364371 0.13813392]
